Order No,Order Date,Customer Name,Address,City,State,Customer Type,Account Manager,Order Priority,Product Name,Product Category,Product Container,Ship Mode,Ship Date,Cost Price,Retail Price,Order Quantity,Sub Total,Discount%,Discount $,Order Total,Shipping Cost,Total
6254-1,16/4/5,Adrian Shami,"Sydney Fish Market, Bank Street, Sydney",Sydney,NSW,Consumer,Phoebe Gour,Low,Apex Forged Steel Scissors with Black Enamel Handles,Office Supplies,Small Pack,Regular Air,2016-04-11,4.10,9.31,35,325.85,5,16.29,325.80,3.98,329.78
6491-1,16/11/14,Alan Barnes,"99 Glebe Point Rd,Glebe",Sydney,NSW,Corporate,Natasha Song,Medium,12 Colored Short Pencils,Office Supplies,Wrap Bag,Regular Air,2016-11-15,1.09,2.60,11,28.60,9,2.57,28.51,2.40,30.91
6246-1,16/3/29,Alan Dominguez,"60 Commercial Rd,Prahran",Melbourne,VIC,Corporate,Yvette Biti,Low,Artisan 481 Labels,Office Supplies,Small Box,Regular Air,2016-03-31,1.94,3.08,42,129.36,9,11.64,129.27,0.99,130.26
6118-1,15/11/15,Alan Hwang,"223 Barkly St,St Kilda",Melbourne,VIC,Corporate,Yvette Biti,Low,Smiths Bulk Pack Metal Binder Clips,Office Supplies,Wrap Bag,Regular Air,2015-11-24,3.95,6.08,41,249.28,3,7.48,249.25,1.82,251.07
5931-1,15/6/10,Alan Schoenberger,"333-339 Enmore Rd,Marrickville",Sydney,NSW,Corporate,Preston Senome,Critical,Multimedia Mailers,Office Supplies,Small Box,Regular Air,2015-06-12,99.39,162.93,36,5865.48,9,527.89,5865.39,19.99,5885.38
5908-1,15/5/20,Alan Shonely,"Macquarie Centre Cnr Herring Road & Waterloo Road,Macquarie Park",Sydney,NSW,Small Business,Nicholas Fernandes,Critical,UGen RF Keyboard,Technology,Small Box,Regular Air,2015-05-21,81.59,159.99,19,3039.81,10,303.98,3039.71,5.50,3045.21
6197-1,16/2/12,Alejandro Ballentine,"412 Brunswick St,Fitzroy",Melbourne,VIC,Small Business,Connor Betts,Critical,Lumi Crayons,Office Supplies,Wrap Bag,Regular Air,2016-02-13,5.22,9.85,48,472.80,9,42.55,472.71,4.82,477.53
6197-2,16/2/12,Alejandro Ballentine,"412 Brunswick St,Fitzroy",Melbourne,VIC,Small Business,Connor Betts,Critical,Pizazz Colored Pencils,Office Supplies,Wrap Bag,Regular Air,2016-02-13,1.76,2.94,18,52.92,1,0.53,52.91,0.81,53.72
5537-1,14/6/27,Alejandro Ballentine,"412 Brunswick St,Fitzroy",Melbourne,VIC,Small Business,Connor Betts,High,Barrel Sharpener,Office Supplies,Small Pack,Regular Air,2014-06-28,1.46,3.57,46,164.22,1,1.64,164.21,4.17,168.38
6034-1,15/8/24,Alejandro Ballentine,"412 Brunswick St,Fitzroy",Melbourne,VIC,Small Business,Connor Betts,High,"24 Capacity Maxi Data Binder Racks, Pearl",Office Supplies,Small Box,Express Air,2015-08-25,84.22,210.55,2,421.10,5,21.06,421.05,9.99,431.04
5856-1,15/4/13,Alejandro Grove,"155 Oxford Street,Darlinghurst",Sydney,NSW,Corporate,Samantha Chairs,High,Artisan Hi-Liter Pen Style Six-Color Fluorescent Set,Office Supplies,Wrap Bag,Regular Air,2015-04-14,2.16,3.85,42,161.70,1,1.62,161.69,0.70,162.39
5142-1,13/6/25,Aleksandra Gannaway,"Hoyts Entertainment Quarter 122 Lang Road,Moore Park",Sydney,NSW,Home Office,Tina Carlton,High,PastelOcean Color Pencil Set,Office Supplies,Wrap Bag,Regular Air,2013-06-26,11.11,19.84,26,515.84,7,36.11,515.77,4.10,519.87
5251-1,13/9/26,Aleksandra Gannaway,"Hoyts Entertainment Quarter 122 Lang Road,Moore Park",Sydney,NSW,Home Office,Tina Carlton,Medium,Alto Memo Cubes,Office Supplies,Wrap Bag,Regular Air,2013-09-28,3.32,5.18,23,119.14,5,5.96,119.09,2.04,121.13
5379-1,14/1/15,Aleksandra Gannaway,"Hoyts Entertainment Quarter 122 Lang Road,Moore Park",Sydney,NSW,Corporate,Tina Carlton,Medium,Apex Straight Scissors,Office Supplies,Small Pack,Express Air,2014-01-17,5.19,12.98,34,441.32,4,17.65,441.28,3.14,444.42
5489-1,14/5/11,Aleksandra Gannaway,"Hoyts Entertainment Quarter 122 Lang Road,Moore Park",Sydney,NSW,Corporate,Tina Carlton,Medium,Lumi Crayons,Office Supplies,Wrap Bag,Regular Air,2014-05-12,5.22,9.85,20,197.00,6,11.82,196.94,4.82,201.76
6179-1,16/1/26,Aleksandra Gannaway,"Hoyts Entertainment Quarter 122 Lang Road,Moore Park",Sydney,NSW,Corporate,Tina Carlton,High,"Message Book, One Form per Page",Office Supplies,Wrap Bag,Express Air,2016-01-28,2.41,3.71,16,59.36,10,5.94,59.26,1.93,61.19
5195-1,13/7/31,Alex Grayson,"644 George St,Sydney",Sydney,NSW,Consumer,Radhya Staples,Medium,Artisan Durable Binders,Office Supplies,Small Box,Regular Air,2013-08-01,1.84,2.88,11,31.68,9,2.85,31.59,1.49,33.08
5195-2,13/7/31,Alex Grayson,"644 George St,Sydney",Sydney,NSW,Consumer,Radhya Staples,Medium,Beekin 105-Key Black Keyboard,Technology,Small Box,Regular Air,2013-08-02,6.39,19.98,43,859.14,10,85.91,859.04,4.00,863.04
5457-1,14/4/3,Alex Grayson,"644 George St,Sydney",Sydney,NSW,Consumer,Radhya Staples,Medium,OIC Bulk Pack Metal Binder Clips,Office Supplies,Wrap Bag,Regular Air,2014-04-05,2.13,3.49,46,160.54,1,1.61,160.53,0.76,161.29
5016-1,13/2/11,Alex Russell,"99 Lygon Street,East Brunswick",Melbourne,VIC,Home Office,Connor Betts,High,"DrawIt Pizazz Watercolor Pencils, 10-Color Set with Brush",Office Supplies,Wrap Bag,Regular Air,2013-02-12,2.39,4.26,29,123.54,3,3.71,123.51,1.20,124.71
5084-1,13/5/13,Alex Russell,"99 Lygon Street,East Brunswick",Melbourne,VIC,Home Office,Connor Betts,Medium,EcoTones Memo Sheets,Office Supplies,Wrap Bag,Express Air,2013-05-15,2.52,4.00,19,76.00,9,6.84,75.91,1.30,77.21
6579-1,17/2/3,Alex Russell,"99 Lygon Street,East Brunswick",Melbourne,VIC,Home Office,Connor Betts,High,Artisan 479 Labels,Office Supplies,Small Box,Regular Air,2017-02-05,1.59,2.61,38,99.18,4,3.97,99.14,0.50,99.64
5311-1,13/11/17,Allen Armold,"224A Gertrude St,Fitzroy",Melbourne,VIC,Home Office,Connor Betts,Critical,Apex Office Executive Series Stainless Steel Trimmers,Office Supplies,Small Pack,Regular Air,2013-11-18,3.51,8.57,24,205.68,6,12.34,205.62,6.14,211.76
5907-1,15/5/20,Allen Armold,"224A Gertrude St,Fitzroy",Melbourne,VIC,Home Office,Connor Betts,Critical,Laser DVD-RAM discs,Technology,Small Pack,Regular Air,2015-05-22,20.18,35.41,49,1735.09,2,34.70,1735.07,1.99,1737.06
5272-1,13/10/11,Amy Cox,"523 King St,Newtown",Sydney,NSW,Small Business,Aanya Zhang,Critical,Pizazz Dustless Chalk Sticks,Office Supplies,Wrap Bag,Regular Air,2013-10-12,1.09,1.68,38,63.84,7,4.47,63.77,1.00,64.77
5282-1,13/10/21,Amy Cox,"523 King St,Newtown",Sydney,NSW,Small Business,Aanya Zhang,Not Specified,Smiths General Use 3-Ring Binders,Office Supplies,Small Box,Regular Air,2013-10-23,1.18,1.88,33,62.04,7,4.34,61.97,1.49,63.46
5418-1,14/2/22,Amy Cox,"523 King St,Newtown",Sydney,NSW,Corporate,Aanya Zhang,Critical,Apex Box Cutter Scissors,Office Supplies,Small Pack,Regular Air,2014-02-23,4.19,10.23,9,92.07,7,6.44,92.00,4.68,96.68
6517-1,16/12/8,Amy Hunt,"60 Commercial Rd,Prahran",Melbourne,VIC,Small Business,Yvette Biti,High,"Multi-Use Personal File Cart and Caster Set, Three Stacking Bins",Office Supplies,Small Box,Regular Air,2016-12-10,14.95,34.76,10,347.60,6,20.86,347.54,8.22,355.76
5231-1,13/9/2,Andrew Allen,"797 Botany Rd,Rosebery",Sydney,NSW,Corporate,Phoebe Gour,High,Beekin 6 Outlet Metallic Surge Strip,Office Supplies,Small Box,Regular Air,2013-09-03,4.46,10.89,9,98.01,3,2.94,97.98,4.50,102.48
6226-1,16/3/12,Andrew Allen,"797 Botany Rd,Rosebery",Sydney,NSW,Corporate,Phoebe Gour,Low,Steady Pocket Accent Highlighters,Office Supplies,Wrap Bag,Regular Air,2016-03-17,0.93,1.60,40,64.00,1,0.64,63.99,1.29,65.28
5103-1,13/5/22,Andy Reiter,"Cnr Williams Road & Lechlade Ave,South Yarra",Melbourne,VIC,Corporate,Yvette Biti,Critical,Smiths General Use 3-Ring Binders,Office Supplies,Small Box,Regular Air,2013-05-24,1.18,1.88,1,1.88,5,0.09,1.83,1.49,3.32
6211-1,16/2/20,Andy Reiter,"Cnr Williams Road & Lechlade Ave,South Yarra",Melbourne,VIC,Corporate,Yvette Biti,Critical,TechSavi Cordless Access Keyboard,Technology,Small Box,Regular Air,2016-02-22,14.70,29.99,11,329.89,8,26.39,329.81,5.50,335.31
5502-1,14/5/29,Andy Yotov,"33/4 Barangaroo Avenue,Sydney",Sydney,NSW,Corporate,Natasha Song,High,"Artisan Flip-Chart Easel Binder, Black",Office Supplies,Small Box,Regular Air,2014-05-29,13.88,22.38,26,581.88,7,40.73,581.81,15.10,596.91
5473-1,14/4/17,Anemone Ratner,"157 Norton St,Leichhardt",Sydney,NSW,Small Business,Stevie Bacata,Critical,Apex Elite Stainless Steel Scissors,Office Supplies,Small Pack,Express Air,2014-04-18,3.42,8.34,16,133.44,4,5.34,133.40,2.64,136.04
5807-1,15/2/24,Ann Blume,"180 High Street,Windsor",Melbourne,VIC,Small Business,Connor Betts,Critical,Artisan 487 Labels,Office Supplies,Small Box,Regular Air,2015-02-24,2.29,3.69,12,44.28,2,0.89,44.26,0.50,44.76
5247-1,13/9/20,Ann Chong,"7 Khartoum Rd,Macquarie Park",Sydney,NSW,Corporate,Preston Senome,High,Artisan Arch Ring Binders,Office Supplies,Small Box,Regular Air,2013-09-21,36.02,58.10,7,406.70,10,40.67,406.60,1.49,408.09
6558-1,17/1/17,Ann Steele,"6-8 O'Connell Street,Newtown",Sydney,NSW,Corporate,Nicholas Fernandes,Critical,"Alto Parchment Paper, Assorted Colors",Office Supplies,Small Box,Regular Air,2017-01-18,4.59,7.28,39,283.92,8,22.71,283.84,11.15,294.99
5811-1,15/3/1,Anne McFarland,"834 Bourke St,Waterloo",Sydney,NSW,Consumer,Charlie Bui,Low,TechSavi Access Keyboard,Technology,Small Box,Regular Air,2015-03-01,10.07,15.98,26,415.48,1,4.15,415.47,4.00,419.47
5367-1,14/1/10,Anne Pryor,"1-2/299 Sussex St,Sydney",Sydney,NSW,Home Office,Aanya Zhang,Medium,3Max Organizer Strips,Office Supplies,Small Box,Express Air,2014-01-10,3.40,5.40,9,48.60,9,4.37,48.51,7.78,56.29
5367-2,14/1/10,Anne Pryor,"1-2/299 Sussex St,Sydney",Sydney,NSW,Home Office,Aanya Zhang,Medium,Office Shears by Apex,Office Supplies,Small Pack,Regular Air,2014-01-11,0.94,2.08,43,89.44,5,4.47,89.39,2.56,91.95
5453-1,14/4/1,Anne Pryor,"1-2/299 Sussex St,Sydney",Sydney,NSW,Consumer,Aanya Zhang,Critical,Steady 52201 APSCO Electric Pencil Sharpener,Office Supplies,Small Pack,Regular Air,2014-04-02,16.80,40.97,44,1802.68,8,144.21,1802.60,8.99,1811.59
5938-1,15/6/14,Annie Cyprus,"180 High Street,Windsor",Melbourne,VIC,Home Office,Connor Betts,High,Steady Liquid Accent Tank-Style Highlighters,Office Supplies,Wrap Bag,Regular Air,2015-06-15,1.31,2.84,23,65.32,6,3.92,65.26,0.93,66.19
5990-1,15/7/25,Annie Thurman,"499-501 Lygon Street,Carlton North",Melbourne,VIC,Home Office,Yvette Biti,High,"Adams ""While You Were Out"" Message Pads",Office Supplies,Wrap Bag,Express Air,2015-07-26,1.88,3.14,43,135.02,7,9.45,134.95,1.14,136.09
5990-2,15/7/25,Annie Thurman,"499-501 Lygon Street,Carlton North",Melbourne,VIC,Home Office,Yvette Biti,High,Barrel Sharpener,Office Supplies,Small Pack,Regular Air,2015-07-27,1.46,3.57,19,67.83,8,5.43,67.75,4.17,71.92
6098-1,15/10/24,Annie Thurman,"499-501 Lygon Street,Carlton North",Melbourne,VIC,Consumer,Yvette Biti,Critical,"Angle-D Binders with Locking Rings, Label Holders",Office Supplies,Small Box,Regular Air,2015-10-26,4.53,7.30,34,248.20,3,7.45,248.17,7.72,255.89
5819-1,15/3/11,Anthony Garverick,"470 Anzac Parade,Kingsford",Sydney,NSW,Small Business,Tina Carlton,High,Steady Major Accent Highlighters,Office Supplies,Wrap Bag,Regular Air,2015-03-12,3.75,7.08,12,84.96,10,8.50,84.86,2.35,87.21
6076-1,15/9/27,Anthony Johnson,"53-55 Liverpool St,Sydney",Sydney,NSW,Small Business,Tina Carlton,Not Specified,Xit Blank Computer Paper,Office Supplies,Small Box,Regular Air,2015-09-29,12.39,19.98,20,399.60,5,19.98,399.55,5.77,405.32
5112-1,13/5/29,Anthony Rawles,"Shop 1, 186-190 Church Street,Parramatta;46a Macleay Street,Potts Point",Sydney,NSW,Small Business,Mihael Khan,Medium,Xit Blank Computer Paper,Office Supplies,Small Box,Express Air,2013-05-29,12.39,19.98,13,259.74,10,25.97,259.64,5.77,265.41
5516-1,14/6/9,Anthony Rawles,"Shop 1, 186-190 Church Street,Parramatta;46a Macleay Street,Potts Point",Sydney,NSW,Small Business,Mihael Khan,High,3Max Polarizing Light Filter Sleeves,Furniture,Small Pack,Regular Air,2014-06-09,11.38,18.65,18,335.70,10,33.57,335.60,3.77,339.37
5854-1,15/4/11,Anthony Rawles,"Shop 1, 186-190 Church Street,Parramatta;46a Macleay Street,Potts Point",Sydney,NSW,Small Business,Mihael Khan,Medium,TechSavi Access Keyboard,Technology,Small Box,Regular Air,2015-04-12,10.07,15.98,40,639.20,1,6.39,639.19,4.00,643.19
6510-1,16/12/3,Anthony Rawles,"Shop 1, 186-190 Church Street,Parramatta;46a Macleay Street,Potts Point",Sydney,NSW,Small Business,Mihael Khan,Medium,Artisan Durable Binders,Office Supplies,Small Box,Regular Air,2016-12-05,1.84,2.88,40,115.20,0,0.00,115.20,1.49,116.69
5949-1,15/6/27,Arianne Irving,"8 Rankins Lane ,Melbourne",Melbourne,VIC,Corporate,Connor Betts,High,Pizazz Drawing Pencil Set,Office Supplies,Wrap Bag,Regular Air,2015-06-27,1.53,2.78,44,122.32,7,8.56,122.25,1.34,123.59
5865-1,15/4/20,Art Ferguson,"85-113 Dunning Ave,Roseberry",Sydney,NSW,Corporate,Mihael Khan,High,Artisan Hi-Liter Smear-Safe Highlighters,Office Supplies,Wrap Bag,Express Air,2015-04-22,2.98,5.84,12,70.08,2,1.40,70.06,0.83,70.89
5037-1,13/3/11,Art Foster,"Westfield Parramatta,Parramatta",Sydney,NSW,Home Office,Stevie Bacata,Critical,Apex Elite Stainless Steel Scissors,Office Supplies,Small Pack,Regular Air,2013-03-13,3.42,8.34,16,133.44,3,4.00,133.41,2.64,136.05
5759-1,15/1/17,Art Foster,"Westfield Parramatta,Parramatta",Sydney,NSW,Home Office,Stevie Bacata,High,"Laser Neon Mac Format Diskettes, 10/Pack",Technology,Small Pack,Regular Air,2015-01-18,1.87,8.12,47,381.64,7,26.71,381.57,2.83,384.40
6582-1,17/2/5,Art Foster,"Westfield Parramatta,Parramatta",Sydney,NSW,Home Office,Stevie Bacata,Medium,Artisan Legal 4-Ring Binder,Office Supplies,Small Box,Regular Air,2017-02-07,13.64,20.98,2,41.96,1,0.42,41.95,1.49,43.44
5556-1,14/7/18,Art Miller,"8 Quay Street,Haymarket",Sydney,NSW,Corporate,Leighton Forrest,Medium,Artisan 474 Labels,Office Supplies,Small Box,Regular Air,2014-07-19,1.84,2.88,10,28.80,1,0.29,28.79,0.99,29.78
6152-1,15/12/25,Art Miller,"8 Quay Street,Haymarket",Sydney,NSW,Corporate,Leighton Forrest,Low,HFX LaserJet 3310 Copier,Technology,Large Box,Regular Air,2016-01-01,377.99,599.99,17,10199.83,8,815.99,10199.75,24.49,10224.24
5505-1,14/6/2,Arthur Gainer,"180 High Street,Windsor",Melbourne,VIC,Corporate,Connor Betts,Critical,1726 Digital Answering Machine,Technology,Medium Box,Regular Air,2014-06-04,8.82,20.99,10,209.90,0,0.00,209.90,4.81,214.71
5720-1,14/12/26,Arthur Gainer,"180 High Street,Windsor",Melbourne,VIC,Consumer,Connor Betts,High,Smiths Metal Binder Clips,Office Supplies,Wrap Bag,Regular Air,2014-12-29,1.60,2.62,37,96.94,1,0.97,96.93,0.80,97.73
5859-1,15/4/18,Arthur Gainer,"180 High Street,Windsor",Melbourne,VIC,Corporate,Connor Betts,Medium,Artisan Durable Poly Binders,Office Supplies,Small Box,Regular Air,2015-04-19,3.37,5.53,27,149.31,4,5.97,149.27,6.98,156.25
5650-1,14/10/11,Arthur Prichep,"Sydney Fish Market, Bank Street, Sydney",Sydney,NSW,Home Office,Phoebe Gour,Medium,PastelOcean Color Pencil Set,Office Supplies,Wrap Bag,Regular Air,2014-10-11,11.11,19.84,43,853.12,3,25.59,853.09,4.10,857.19
6329-1,16/6/15,Arthur Prichep,"Sydney Fish Market, Bank Street, Sydney",Sydney,NSW,Home Office,Phoebe Gour,Low,"Artisan Flip-Chart Easel Binder, Black",Office Supplies,Small Box,Regular Air,2016-06-17,13.88,22.38,11,246.18,1,2.46,246.17,15.10,261.27
5373-1,14/1/13,Ashley Jarboe,"180 High Street,Windsor",Melbourne,VIC,Home Office,Connor Betts,Low,"TypeRight  Top-Opening Peel & Seel  Envelopes, Gray",Office Supplies,Small Box,Regular Air,2014-01-18,21.56,35.94,13,467.22,9,42.05,467.13,6.66,473.79
6407-1,16/9/20,Ashley Jarboe,"180 High Street,Windsor",Melbourne,VIC,Small Business,Connor Betts,Low,Smiths SlimLine Pencil Sharpener,Office Supplies,Small Pack,Regular Air,2016-09-20,4.79,11.97,38,454.86,2,9.10,454.84,5.81,460.65
5837-1,15/3/24,Astrea Jones,"485 Crown St,Surry Hills",Sydney,NSW,Corporate,Leighton Forrest,Medium,Artisan Durable Poly Binders,Office Supplies,Small Box,Regular Air,2015-03-26,3.37,5.53,23,127.19,10,12.72,127.09,6.98,134.07
6011-1,15/8/7,Astrea Jones,"485 Crown St,Surry Hills",Sydney,NSW,Corporate,Leighton Forrest,Critical,Unpadded Memo Slips,Office Supplies,Wrap Bag,Regular Air,2015-08-08,2.59,3.98,16,63.68,9,5.73,63.59,2.97,66.56
6346-1,16/7/2,Astrea Jones,"485 Crown St,Surry Hills",Sydney,NSW,Corporate,Leighton Forrest,Critical,Smiths Metal Binder Clips,Office Supplies,Wrap Bag,Regular Air,2016-07-04,1.60,2.62,16,41.92,9,3.77,41.83,0.80,42.63
6090-1,15/10/15,Barbara Fisher,"180 High Street,Windsor",Melbourne,VIC,Small Business,Connor Betts,Critical,3Max Organizer Strips,Office Supplies,Small Box,Regular Air,2015-10-16,3.40,5.40,8,43.20,0,0.00,43.20,7.78,50.98
5976-1,15/7/17,Barry Blumstein,"6 Mary St,Newtown",Sydney,NSW,Small Business,Samantha Chairs,High,"Message Book, One Form per Page",Office Supplies,Wrap Bag,Regular Air,2015-07-17,2.41,3.71,13,48.23,6,2.89,48.17,1.93,50.10
5659-1,14/10/19,Barry Franz,"499-501 Lygon Street,Carlton North",Melbourne,VIC,Corporate,Yvette Biti,High,Beekin 6 Outlet Metallic Surge Strip,Office Supplies,Small Box,Express Air,2014-10-20,4.46,10.89,4,43.56,5,2.18,43.51,4.50,48.01
5737-1,15/1/7,Barry Franz,"499-501 Lygon Street,Carlton North",Melbourne,VIC,Corporate,Yvette Biti,Medium,Artisan Printable Repositionable Plastic Tabs,Office Supplies,Small Box,Regular Air,2015-01-09,5.33,8.60,48,412.80,2,8.26,412.78,6.19,418.97
6436-1,16/10/15,Barry Franz,"499-501 Lygon Street,Carlton North",Melbourne,VIC,Corporate,Yvette Biti,Not Specified,"3Max Polarizing Task Lamp with Clamp Arm, Light Gray",Furniture,Large Box,Regular Air,2016-10-15,56.16,136.98,27,3698.46,9,332.86,3698.37,24.49,3722.86
5973-1,15/7/15,Barry Gonzalez,"797 Botany Rd,Rosebery",Sydney,NSW,Consumer,Phoebe Gour,Low,Lumi Crayons,Office Supplies,Wrap Bag,Regular Air,2015-07-19,5.22,9.85,21,206.85,10,20.69,206.75,4.82,211.57
5526-1,14/6/19,Barry Pond,"99 Lygon Street,East Brunswick",Melbourne,VIC,Consumer,Connor Betts,Medium,"DrawIt Colored Pencils, 48-Color Set",Office Supplies,Wrap Bag,Regular Air,2014-06-21,21.56,36.55,48,1754.40,7,122.81,1754.33,13.89,1768.22
5059-1,13/4/28,Barry Weirich,"105 Pitt St,Sydney",Sydney,NSW,Corporate,Charlie Bui,Medium,Beekin 105-Key Black Keyboard,Technology,Small Box,Regular Air,2013-04-28,6.39,19.98,7,139.86,1,1.40,139.85,4.00,143.85
6258-1,16/4/11,Barry Weirich,"105 Pitt St,Sydney",Sydney,NSW,Corporate,Charlie Bui,Not Specified,Artisan Hole Reinforcements,Office Supplies,Small Box,Regular Air,2016-04-13,3.99,6.23,21,130.83,5,6.54,130.78,6.97,137.75
6165-1,16/1/2,Bart Folk,"Westfield Miranda, 600 Kingsway,Miranda",Sydney,NSW,Corporate,Preston Senome,Not Specified,TechSavi Cordless Access Keyboard,Technology,Small Box,Regular Air,2016-01-03,14.70,29.99,14,419.86,4,16.79,419.82,5.50,425.32
5619-1,14/9/17,Bart Watters,"Westfield 1 Anderson St,Chatswood",Sydney,NSW,Corporate,Nicholas Fernandes,Critical,Artisan Poly Binder Pockets,Office Supplies,Small Box,Regular Air,2014-09-18,2.26,3.58,19,68.02,0,0.00,68.02,5.47,73.49
5712-1,14/12/10,Bart Watters,"Westfield 1 Anderson St,Chatswood",Sydney,NSW,Corporate,Nicholas Fernandes,Not Specified,Apex Box Cutter Scissors,Office Supplies,Small Pack,Regular Air,2014-12-11,4.19,10.23,46,470.58,1,4.71,470.57,4.68,475.25
6555-1,17/1/11,Bart Watters,"Westfield 1 Anderson St,Chatswood",Sydney,NSW,Corporate,Nicholas Fernandes,Critical,Apex Straight Scissors,Office Supplies,Small Pack,Regular Air,2017-01-13,5.19,12.98,49,636.02,2,12.72,636.00,3.14,639.14
5680-1,14/11/3,Becky Castell,"333-339 Enmore Rd,Marrickville",Sydney,NSW,Consumer,Preston Senome,Medium,TechSavi Internet Navigator Keyboard,Technology,Small Box,Regular Air,2014-11-04,6.51,30.98,12,371.76,0,0.00,371.76,6.50,378.26
5104-1,13/5/23,Becky Martin,"53-55 Liverpool Street,Sydney",Sydney,NSW,Home Office,Tina Carlton,Medium,Alto Keyboard-In-A-Box,Technology,Small Box,Express Air,2013-05-25,6.40,29.10,33,960.30,1,9.60,960.29,4.00,964.29
6498-1,16/11/22,Becky Pak,"79 Elliott St,Balmain",Sydney,NSW,Corporate,Aanya Zhang,Low,Smiths Standard Envelopes,Office Supplies,Small Box,Regular Air,2016-11-27,3.52,5.68,10,56.80,9,5.11,56.71,1.39,58.10
5342-1,13/12/13,Ben Peterman,"485 Crown St,Surry Hills",Sydney,NSW,Corporate,Leighton Forrest,Critical,"Artisan Hi-Liter GlideStik Fluorescent Highlighter, Yellow Ink",Office Supplies,Wrap Bag,Regular Air,2013-12-15,1.92,3.26,6,19.56,1,0.20,19.55,1.86,21.41
6514-1,16/12/6,Ben Peterman,"485 Crown St,Surry Hills",Sydney,NSW,Corporate,Leighton Forrest,Low,Adesso Programmable 142-Key Keyboard,Technology,Small Box,Regular Air,2016-12-08,32.02,152.48,46,7014.08,1,70.14,7014.07,4.00,7018.07
5175-1,13/7/18,Ben Wallace,"120 Hardware St,Melbourne",Melbourne,VIC,Home Office,Yvette Biti,Critical,Apex Elite Stainless Steel Scissors,Office Supplies,Small Pack,Express Air,2013-07-20,3.42,8.34,15,125.10,0,0.00,125.10,2.64,127.74
6535-1,16/12/21,Benjamin Farhat,"188 Pitt Street,Sydney",Sydney,NSW,Home Office,Tina Carlton,Critical,Office Shears by Apex,Office Supplies,Small Pack,Regular Air,2016-12-22,0.94,2.08,49,101.92,7,7.13,101.85,2.56,104.41
5583-1,14/8/11,Benjamin Patterson,"1-2/299 Sussex St,Sydney",Sydney,NSW,Corporate,Aanya Zhang,Critical,Bagged Rubber Bands,Office Supplies,Wrap Bag,Regular Air,2014-08-12,0.24,1.26,2,2.52,6,0.15,2.46,0.70,3.16
